Site,Plot,Date Collected,Plot Code,Insect Code,Order
1,1,06-06-2023,116,11601,Hymenoptera
1,1,06-06-2023,116,11602,Hymenoptera
1,1,06-06-2023,116,11603,Hymenoptera
1,1,06-06-2023,116,11604,Hymenoptera
1,1,06-06-2023,116,11605,Hymenoptera
1,1,06-06-2023,116,11606,Hymenoptera
1,1,06-06-2023,116,11607,Coleoptera
1,1,06-06-2023,116,11608,Coleoptera
1,1,06-06-2023,116,11609,Coleoptera
1,1,06-06-2023,116,11610,Coleoptera
1,1,06-06-2023,116,11611,Coleoptera
1,1,06-06-2023,116,11612,Coleoptera
1,1,06-06-2023,116,11613,Coleoptera
1,1,06-06-2023,116,11614,Coleoptera
1,1,06-06-2023,116,11615,Coleoptera
1,1,06-06-2023,116,11616,Coleoptera
1,1,06-06-2023,116,11617,Coleoptera
1,1,06-06-2023,116,11618,Coleoptera
1,1,06-06-2023,116,11619,Coleoptera
1,1,06-06-2023,116,11620,Lepidoptera
1,1,06-06-2023,116,11621,Diptera
1,1,06-06-2023,116,11622,Diptera
1,1,06-06-2023,116,11623,Diptera
1,1,06-06-2023,116,11624,Diptera
1,1,06-06-2023,116,11625,Diptera
1,1,06-06-2023,116,11626,Diptera
1,1,06-06-2023,116,11627,Hymenoptera
1,1,06-06-2023,116,11628,Araneae
1,1,06-06-2023,116,11629,Araneae
1,1,06-06-2023,116,11630,Araneae
1,1,06-06-2023,116,11631,Araneae
1,1,06-06-2023,116,11632,Julida
1,2,06-06-2023,126,12601,Araneae
1,2,06-06-2023,126,12602,Araneae
1,2,06-06-2023,126,12603,Julida
1,2,06-06-2023,126,12604,Stylommatophora
1,2,06-06-2023,126,12605,Stylommatophora
1,3,06-06-2023,136,13601,Hymenoptera
1,3,06-06-2023,136,13602,Hymenoptera
1,3,06-06-2023,136,13603,Hymenoptera
1,3,06-06-2023,136,13604,Hymenoptera
1,3,06-06-2023,136,13605,Hymenoptera
1,3,06-06-2023,136,13606,Hymenoptera
1,3,06-06-2023,136,13607,Hymenoptera
1,3,06-06-2023,136,13608,Lepidoptera
1,3,06-06-2023,136,13609,Diptera
1,3,06-06-2023,136,13610,Diptera
1,3,06-06-2023,136,13611,Hymenoptera
1,3,06-06-2023,136,13612,Hymenoptera
1,3,06-06-2023,136,13613,Hymenoptera
1,3,06-06-2023,136,13614,Hymenoptera
1,3,06-06-2023,136,13615,Hymenoptera
1,3,06-06-2023,136,13616,Hymenoptera
1,3,06-06-2023,136,13617,Diptera
1,3,06-06-2023,136,13618,Diptera
1,3,06-06-2023,136,13619,Coleoptera
1,1,06-07-2023,117,11701,Diptera
1,1,06-07-2023,117,11702,Diptera
1,1,06-07-2023,117,11703,Araneae
1,2,06-07-2023,127,12701,Araneae
1,2,06-07-2023,127,12702,Hymenoptera
1,2,06-07-2023,127,12703,Coleoptera
1,2,06-07-2023,127,12704,Diptera
1,3,06-07-2023,137,13701,Hymenoptera
1,3,06-07-2023,137,13702,Hymenoptera
1,3,06-07-2023,137,13703,Hymenoptera
1,3,06-07-2023,137,13704,Hymenoptera
1,3,06-07-2023,137,13705,Hymenoptera
1,3,06-07-2023,137,13706,Coleoptera
1,3,06-07-2023,137,13707,Coleoptera
1,3,06-07-2023,137,13708,Julida
1,3,06-07-2023,137,13709,Diptera
1,3,06-07-2023,137,13710,Araneae
2,1,06-07-2023,217,21701,Isopoda
2,1,06-07-2023,217,21703,Julida
2,2,06-07-2023,227,22701,Julida
2,2,06-07-2023,227,22702,Araneae
2,2,06-07-2023,227,22703,Isopoda
2,2,06-07-2023,227,22704,Hymenoptera
2,3,06-07-2023,237,23701,Isopoda
2,3,06-07-2023,237,23702,Isopoda
2,3,06-07-2023,237,23703,Diptera
2,3,06-07-2023,237,23704,Araneae
2,3,06-07-2023,237,23705,Coleoptera
2,3,06-07-2023,237,23706,Coleoptera
2,3,06-07-2023,237,23707,Coleoptera
2,3,06-07-2023,237,23708,Lithobiomorpha
2,3,06-07-2023,237,23709,Lithobiomorpha
2,3,06-07-2023,237,23710,Lithobiomorpha
2,3,06-07-2023,237,23711,Julida
2,3,06-07-2023,237,23712,Julida
2,3,06-07-2023,237,23713,Coleoptera
2,3,06-07-2023,237,23714,Coleoptera
2,3,06-07-2023,237,23715,Coleoptera
1,1,06-08-2023,118,11801,Stylommatophora
1,1,06-08-2023,118,11802,Araneae
1,1,06-08-2023,118,11803,Araneae
1,1,06-08-2023,118,11804,Hymenoptera
1,1,06-08-2023,118,11805,Coleoptera
1,1,06-08-2023,118,11806,Coleoptera
1,1,06-08-2023,118,11807,Coleoptera
1,1,06-08-2023,118,11808,Diptera
1,1,06-08-2023,118,11809,Diptera
1,1,06-08-2023,118,11810,Heteroptera
1,1,06-08-2023,118,11811,Hymenoptera
1,2,06-08-2023,128,12801,Araneae
1,2,06-08-2023,128,12802,Araneae
1,2,06-08-2023,128,12803,Araneae
1,2,06-08-2023,128,12804,Coleoptera
1,2,06-08-2023,128,12805,Hymenoptera
1,2,06-08-2023,128,12806,Hymenoptera
1,2,06-08-2023,128,12807,Hymenoptera
1,2,06-08-2023,128,12808,Diptera
1,2,06-08-2023,128,12809,Diptera
1,2,06-08-2023,128,12810,Diptera
1,2,06-08-2023,128,12811,Coleoptera
1,2,06-08-2023,128,12812,Ephemeroptera
1,3,06-08-2023,138,13801,Araneae
1,3,06-08-2023,138,13802,Diptera
1,3,06-08-2023,138,13803,Diptera
1,3,06-08-2023,138,13804,Coleoptera
1,3,06-08-2023,138,13805,Julida
1,3,06-08-2023,138,13806,Julida
1,3,06-08-2023,138,13807,Hymenoptera
1,3,06-08-2023,138,13808,Hymenoptera
1,3,06-08-2023,138,13809,Hymenoptera
1,3,06-08-2023,138,13810,Hymenoptera
1,3,06-08-2023,138,13811,Hymenoptera
1,3,06-08-2023,138,13812,Hymenoptera
1,3,06-08-2023,138,13813,Hymenoptera
2,1,06-08-2023,218,21801,Lepidoptera
2,1,06-08-2023,218,21802,Isopoda
2,1,06-08-2023,218,21803,Diptera
2,1,06-08-2023,218,21804,Hymenoptera
2,2,06-08-2023,228,22801,Hymenoptera
2,2,06-08-2023,228,22802,Hymenoptera
2,2,06-08-2023,228,22803,Isopoda
2,2,06-08-2023,228,22804,Isopoda
2,2,06-08-2023,228,22805,Coleoptera
2,2,06-08-2023,228,22806,Coleoptera
2,3,06-08-2023,238,23801,Stylommatophora
2,3,06-08-2023,238,23802,Julida
2,3,06-08-2023,238,23803,Julida
2,3,06-08-2023,238,23804,Julida
2,3,06-08-2023,238,23805,Coleoptera
2,3,06-08-2023,238,23806,Coleoptera
2,3,06-08-2023,238,23807,Coleoptera
2,3,06-08-2023,238,23808,Diptera
1,1,06-09-2023,119,11901,Araneae
1,1,06-09-2023,119,11902,Hymenoptera
1,1,06-09-2023,119,11903,Hymenoptera
1,1,06-09-2023,119,11904,Coleoptera
1,2,06-09-2023,129,12901,Araneae
1,2,06-09-2023,129,12902,Araneae
1,2,06-09-2023,129,12903,Araneae
1,2,06-09-2023,129,12904,Hymenoptera
1,2,06-09-2023,129,12905,Hymenoptera
